Date,Close,Volume,Volume_MA20,Volume_Zscore,Volume_Spike,Volume_Change_%
2024-05-31,1419.8907470703125,31069832,11284111.9,2.6603750702199274,True,175.34140280902392
2024-06-04,1387.0091552734375,36709098,12964905.6,3.5020501304093883,True,183.14203845803553
2024-06-21,1443.515869140625,31170360,14848744.0,2.6753791346585842,True,109.91916892095387
2024-06-27,1519.304931640625,28383030,16718453.0,2.259362911001482,True,69.77067196348848
2024-06-28,1553.89892578125,28957336,17505976.9,2.3450795693604194,True,65.41399640485075
2024-08-29,1514.874755859375,38335358,10897440.4,3.7447736485735805,True,251.78313982795447
2024-08-30,1503.6197509765625,41620730,12440265.8,4.235123931011892,True,234.564636070718
2024-09-20,1480.0140380859375,30897320,15144224.9,2.6346272072917722,True,104.02047779942833
2024-09-30,1470.701171875,27008814,14323702.6,2.054257612809604,True,88.5602818924766
2024-10-03,1401.3780517578125,37757294,15887794.2,3.6584960989787643,True,137.64969211396257
2024-10-04,1381.0093994140625,37072876,16928229.6,3.556344939351829,True,119.00031412617417
2024-10-15,1338.678466796875,33762794,19146243.9,3.0623066253971314,True,76.3416060943421
2024-11-25,1281.8802490234375,28923341,14779849.0,2.3400057275393134,True,95.69442827189913
2024-12-13,1267.78662109375,28630222,16082485.15,2.296256957403683,True,78.02113126776305
